TimeStamp;baseValue
638751419178167552;36714.13
638751419178664669;42743.27
638751419179164982;40141.46
638751419179667726;40141.46
638751419180162445;40141.46
638751419180663631;38654.27
638751419181169942;38654.27
638751419181664310;38654.27
638751419182170591;36624.0
638751419182669333;37971.87
638751419183161895;37971.87
638751419183670546;39388.67
638751419184164500;43212.54
638751419184670153;43212.54
638751419185166136;43212.54
638751419185670908;44897.33
638751419186167815;41183.07
638751419186666342;41025.73
638751419187181042;41025.73
638751419187676478;36063.2
638751419188173836;40285.46
638751419188681647;40285.46
638751419189185025;40285.46
638751419189680095;43463.8
638751419190184225;43463.8
638751419190684950;43463.8
638751419191177090;39791.46
638751419191678556;39791.46
638751419192185784;39791.46
638751419192676584;36508.0
638751419193179488;36508.0
638751419193676900;36508.0
638751419194176795;40092.13
638751419194687249;40092.13
638751419195191274;40985.73
638751419195686250;37263.07
638751419196191803;37263.07
638751419196680319;37263.07
638751419197195411;45187.73
638751420640818202;36448.27
638751420641320780;36448.27
638751420641815021;36448.27
638751420642317955;42161.0
638751420642812792;41591.73
638751420643331017;41591.73
638751420643824056;40592.46
638751420644331581;39107.93
638751420644832941;39107.93
638751420645332920;39107.93
638751420645834227;42813.07
638751420646327464;40247.8
638751420646831172;40247.8
638751420647330298;40247.8
638751420647826809;41113.73
638751420648329723;42469.8
638751420648826842;42469.8
638751420649344393;42469.8
638751420649842182;36886.93
638751420650335939;36886.93
638751420650839748;36886.93
638751420651342303;44516.13
638751420651836897;44516.13
638751420652339918;44516.13
638751420652838131;35485.87
638751420653341174;35485.87
638751420653842342;35485.87
638751420654340393;42522.93
638751420654844449;42522.93
638751420655353498;42522.93
638751420655847075;37491.46
638751420656354594;37491.46
638751420656847962;37491.46
638751420657350900;38694.27
638751420657850654;41373.87
638751420658359364;41373.87
638751420658852299;41451.33
638751420659365901;36367.33
638751420659869305;39943.87
638751420660366363;39943.87
638751420660869329;35466.8
638751420661366750;39932.73
638751420661870798;39932.73
638751420662369603;39932.73
638751420662869176;41454.93
638751420663371934;41454.93
638751420663869530;41454.93
638751420664367987;43793.87
638751420664870492;42416.54
638751420665367390;42416.54
638751420665866823;42416.54
638751420666375321;43479.87
638751420666868084;43995.46
638751420667376153;43995.46
638751420667869177;39693.33
638751420668377544;39349.07
638751420668871974;39349.07
638751420669374253;39349.07
638751420669877873;41909.6
638751420670375411;41909.6
638751420670873953;41909.6
638751420671372267;37950.13
638751420671880354;41399.87
638751420672383505;41399.87
638751420672878217;38655.27
638751420673380566;38123.93
638751420673879794;34639.93
638751420674377523;34639.93
638751420674880783;40479.93
638751420675385049;40479.93
638751420675878511;40479.93
638751420676381734;34985.6
638751420676882799;41302.0
638751420677384563;41302.0
638751420677880962;41302.0
638751420678384977;43088.13
638751420678883155;43088.13
638751420679378307;43088.13
638751420679885939;38309.73
638751420680384772;38186.4
638751420680883881;38186.4
638751420681387358;38186.4
638751420681880133;34456.07
638751420682383646;34403.27
638751420682884956;34403.27
638751420683391951;34403.27
638751420683889353;39619.46
638751420684390139;39619.46
638751420684884339;39619.46
638751420787055329;36427.87
638751420787553864;36427.87
638751420789550860;37377.6
638751420790057200;36804.93
638751420790555833;36804.93
638751420791049066;36804.93
638751420791557067;43659.2
638751420792059957;43659.2
638751420792557917;43659.2
638751420793051233;42330.13
638751420793571342;42330.13
638751420794069026;42330.13
638751420794570031;40746.67
638751420795067598;40746.67
638751420795569698;40557.33
638751420796072183;42917.46
638751420796571441;42917.46
638751420797069305;34763.2
638751420797567666;40264.0
638751420798071281;40264.0
638751420798570490;40264.0
638751420799071990;37672.27
638751420799570783;37672.27
638751420800068703;37672.27
638751420800571774;42895.46
638751420801070451;42895.46
638751420801568328;42895.46
638751420802067123;43444.54
638751420802570626;39186.67
638751420803070898;39186.67
638751420803570367;40531.07
638751420804070320;39706.0
638751420804568473;39706.0
638751420805071815;39706.0
638751420805570909;38474.07
638751420806069889;38474.07
638751420806568139;38474.07
638751420807071237;39018.0
638751420807570481;39848.6
638751420808070582;39848.6
638751420808573286;39848.6
638751420809071178;38486.73
638751420809569597;38486.73
638751420810067400;38486.73
638751420810570616;39699.87
638751420811072513;39699.87
638751420811570100;39699.87
638751420812070196;43184.13
638751420812571624;37772.8
638751420813070179;37772.8
638751420813573627;37772.8
638751420814069390;36711.87
638751420814567040;36711.87
638751420815070350;36711.87
638751420815567333;36552.8
638751420816070802;36552.8
638751420816570044;36552.8
638751420817073653;40394.8
638751420817573581;40339.6
638751420818071787;40339.6
638751420818570432;38064.67
638751420819067301;34942.67
638751420819570900;34942.67
638751420820068180;35088.67
638751420820571382;41397.33
638751420821069798;41397.33
638751420821572313;38013.07
638751420822070550;40760.4
638751420822569273;40760.4
638751420823072076;44218.93
638751420823571135;35222.4
638751420824071191;35222.4
638751420824571241;35222.4
638751420825067183;35109.33
638751420924872387;36205.6
638751420925369672;35882.13
638751420925873201;35882.13
638751420926379637;35882.13
638751420926877294;42394.93
638751420927375078;42394.93
638751420927877759;42394.93
638751420928372005;37020.27
638751420928880704;34824.46
638751420929379824;34824.46
638751420929878547;41654.13
638751420930375739;40221.2
638751420930878450;40221.2
638751420931372348;40221.2
638751420931877010;37915.2
638751420932384837;37915.2
638751420932876830;37915.2
638751420933384076;36353.33
638751420933883064;38145.46
638751420934379458;38145.46
638751420934884249;38145.46
638751420935376682;36437.33
638751420935880682;36823.33
638751420936381494;36823.33
638751420936879181;34447.93
638751420937387594;41278.4
638751420937885384;41278.4
638751420938382740;41278.4
638751420938886674;41791.87
638751420939378673;40748.54
638751420939886667;40748.54
638751420940385382;42511.33
638751420940883523;37974.93
638751420941391765;37974.93
638751420941884655;39677.46
638751420942392518;36323.2
638751420942885838;36323.2
638751420943391539;40667.07
638751420943883834;43474.0
638751420944386563;43474.0
638751420944888831;35024.54
638751420945390694;35440.67
638751420945889682;35440.67
638751420946392701;35440.67
638751420946891267;41387.33
638751420947388506;41387.33
638751420947893480;41387.33
638751420948391396;38943.46
638751420948885380;37996.2
638751420949392670;37996.2
638751420949893684;37996.2
638751420950393840;42685.93
638751420950888151;40718.2
638751420951396636;40718.2
638751420951895242;34964.13
638751420952390318;34388.0
638751420952893913;36150.46
638751420953391753;36150.46
638751420953889789;38649.6
638751420954442316;38005.87
638751420954925276;38005.87
638751420955423026;38005.87
638751420955922860;34400.8
638751420956420593;38271.2
638751420956918537;38271.2
638751420957425795;38271.2
638751420957919612;36042.93
638751420958422707;37826.93
638751420958921350;37826.93
638751420959424890;43145.87
638751420959922834;36656.6
638751420960421093;36656.6
638751420960918969;35893.6
638751420961426844;41358.27
638751420961920124;41358.27
638751420962418585;41358.27
638751420962921394;34883.73
638751420963421326;34883.73
638751420963920277;34883.73
638751420964428172;42723.33
638751420964931878;43164.54
638751420965431368;43164.54
638751420965927289;38926.33
638751420966425975;35823.73
638751420966925282;35823.73
638751420967428421;35823.73
638751420967926300;41389.67
638751422400077316;39100.13
638751422400576076;39100.13
638751422401083064;39100.13
638751422401581671;34975.73
638751422402080514;35864.54
638751422402578814;35864.54
638751422403086460;36597.2
638751422403589724;43567.6
638751422404080777;38502.27
638751422404583279;38502.27
638751422405081692;42421.87
638751422405592456;43557.6
638751422406085578;43557.6
638751422406593110;35802.93
638751422407086048;41311.07
638751422407585630;41311.07
638751422408088932;37654.8
638751422408592692;36100.8
638751422409090037;36100.8
638751422409595760;36100.8
638751422410094179;37766.8
638751422410596321;37714.54
638751422411094683;37714.54
638751422411592617;43221.07
638751422412095485;43221.07
638751422412594237;43221.07
638751422413116808;38491.33
638751422413594084;41835.46
638751422414097369;41835.46
638751422414595358;41835.46
638751422415094427;36992.54
638751422415594038;36992.54
638751422416101098;36992.54
638751422416598385;40917.2
638751422417096760;40917.2
638751422417595318;40917.2
638751422418098045;40917.07
638751422418596380;42213.33
638751422419100471;42213.33
638751422419598908;42213.33
638751422420097203;37320.0
638751422420600311;38751.33
638751422421094776;38751.33
638751422421592620;41920.93
638751422422099890;36005.6
638751422422593100;36005.6
638751422423097155;36005.6
638751422423600857;41101.27
638751422424099303;41101.27
638751422424592887;41101.27
638751422425143684;38107.6
638751422425626220;44686.93
638751422426118792;44686.93
638751422426623218;44686.93
638751422427121605;39908.13
638751422427624849;43646.4
638751422428122695;43646.4
638751422428629508;43646.4
638751422429127784;37628.4
638751422429629696;38796.27
638751422430123368;38796.27
638751422430631106;43766.67
638751422431129474;43766.67
638751422431627912;43766.67
638751422432131488;40811.46
638751422432629352;40811.46
638751422433122808;40811.46
638751422433630875;43386.2
638751422434128292;44662.2
638751422434636038;44662.2
638751422435134698;43736.93
638751422543350032;37765.87
638751422543851846;35927.73
638751422545367193;41866.0
638751422545861005;35238.6
638751422546359108;35238.6
638751422546867216;35238.6
638751422547359427;41007.07
638751422547863299;41007.07
638751422548366204;41007.07
638751422548870253;34361.07
638751422549365906;34361.07
638751422549869617;34361.07
638751422550382172;36776.07
638751422550884968;42566.8
638751422551383567;42566.8
638751422551876574;42566.8
638751422552383151;40687.2
638751422552885957;40687.2
638751422553379253;40687.2
638751422553897426;41917.73
638751422554396079;40283.2
638751422554898612;40283.2
638751422555396952;41510.33
638751422555895803;43941.07
638751422556398333;42252.54
638751422556895832;42252.54
638751422557396645;40996.73
638751422557895894;38036.93
638751422558396015;38036.93
638751422558895874;38036.93
638751422559395746;35417.4
638751422559899771;43520.8
638751422560397425;43520.8
638751422560895497;43520.8
638751422561403591;39142.93
638751422561897709;39142.93
638751422562400868;39142.93
638751422562899325;35720.8
638751422563402073;35612.54
638751422563904485;35612.54
638751422564396500;35612.54
638751422564900094;40917.54
638751422565403473;43821.4
638751422565896030;43821.4
638751422566402988;42478.13
638751422566906228;37453.87
638751422567405718;37453.87
638751422567903982;37453.87
638751422568397929;42256.67
638751422568905944;42256.67
